"country","edu.att","year","sigma"
"Albania","no.edu.primary","1978",NA
"Albania","no.edu.primary","1979",NA
"Albania","no.edu.primary","1980",NA
"Albania","no.edu.primary","1981",NA
"Albania","no.edu.primary","1982",NA
"Albania","no.edu.primary","1983",NA
"Albania","no.edu.primary","1984",NA
"Albania","no.edu.primary","1985",NA
"Albania","no.edu.primary","1986",NA
"Albania","no.edu.primary","1987",NA
"Albania","no.edu.primary","1988",NA
"Albania","no.edu.primary","1989",NA
"Albania","no.edu.primary","1990",NA
"Albania","no.edu.primary","1991",NA
"Albania","no.edu.primary","1992",NA
"Albania","no.edu.primary","1993",NA
"Albania","no.edu.primary","1994",NA
"Albania","no.edu.primary","1995",NA
"Albania","no.edu.primary","1996",NA
"Albania","no.edu.primary","1997",NA
"Albania","no.edu.primary","1998",0.246483348394021
"Albania","no.edu.primary","1999",0.246483348394021
"Albania","no.edu.primary","2000",0.246483348394021
"Albania","no.edu.primary","2001",0.246483348394021
"Albania","no.edu.primary","2002",0.246483348394021
"Albania","no.edu.primary","2003",0.246483348394021
"Albania","no.edu.primary","2004",0.246483348394021
"Albania","no.edu.primary","2005",0.246483348394021
"Albania","no.edu.primary","2006",0.246483348394021
"Albania","no.edu.primary","2007",0.246483348394021
"Albania","no.edu.primary","2008",0.246483348394021
"Albania","no.edu.primary","2009",NA
"Albania","no.edu.primary","2010",NA
"Albania","no.edu.primary","2011",NA
"Albania","no.edu.primary","2012",NA
"Albania","no.edu.primary","2013",NA
"Albania","no.edu.primary","2014",NA
"Albania","no.edu.primary","2015",NA
"Albania","no.edu.primary","2016",NA
"Albania","no.edu.primary","2017",NA
"Albania","secondary.higher","1978",NA
"Albania","secondary.higher","1979",NA
"Albania","secondary.higher","1980",NA
"Albania","secondary.higher","1981",NA
"Albania","secondary.higher","1982",NA
"Albania","secondary.higher","1983",NA
"Albania","secondary.higher","1984",NA
"Albania","secondary.higher","1985",NA
"Albania","secondary.higher","1986",NA
"Albania","secondary.higher","1987",NA
"Albania","secondary.higher","1988",NA
"Albania","secondary.higher","1989",NA
"Albania","secondary.higher","1990",NA
"Albania","secondary.higher","1991",NA
"Albania","secondary.higher","1992",NA
"Albania","secondary.higher","1993",NA
"Albania","secondary.higher","1994",NA
"Albania","secondary.higher","1995",NA
"Albania","secondary.higher","1996",NA
"Albania","secondary.higher","1997",NA
"Albania","secondary.higher","1998",0.310532294082669
"Albania","secondary.higher","1999",0.310532294082669
"Albania","secondary.higher","2000",0.310532294082669
"Albania","secondary.higher","2001",0.310532294082669
"Albania","secondary.higher","2002",0.310532294082669
"Albania","secondary.higher","2003",0.310532294082669
"Albania","secondary.higher","2004",0.310532294082669
"Albania","secondary.higher","2005",0.310532294082669
"Albania","secondary.higher","2006",0.310532294082669
"Albania","secondary.higher","2007",0.310532294082669
"Albania","secondary.higher","2008",0.310532294082669
"Albania","secondary.higher","2009",NA
"Albania","secondary.higher","2010",NA
"Albania","secondary.higher","2011",NA
"Albania","secondary.higher","2012",NA
"Albania","secondary.higher","2013",NA
"Albania","secondary.higher","2014",NA
"Albania","secondary.higher","2015",NA
"Albania","secondary.higher","2016",NA
"Albania","secondary.higher","2017",NA
"Albania","tot","1978",NA
"Albania","tot","1979",NA
"Albania","tot","1980",NA
"Albania","tot","1981",NA
"Albania","tot","1982",NA
"Albania","tot","1983",NA
"Albania","tot","1984",NA
"Albania","tot","1985",NA
"Albania","tot","1986",NA
"Albania","tot","1987",NA
"Albania","tot","1988",NA
"Albania","tot","1989",NA
"Albania","tot","1990",NA
"Albania","tot","1991",NA
"Albania","tot","1992",NA
"Albania","tot","1993",NA
"Albania","tot","1994",NA
"Albania","tot","1995",NA
"Albania","tot","1996",NA
"Albania","tot","1997",NA
"Albania","tot","1998",0.185642340152694
"Albania","tot","1999",0.185642340152694
"Albania","tot","2000",0.185642340152694
"Albania","tot","2001",0.185642340152694
"Albania","tot","2002",0.185642340152694
"Albania","tot","2003",0.185642340152694
"Albania","tot","2004",0.185642340152694
"Albania","tot","2005",0.185642340152694
"Albania","tot","2006",0.185642340152694
"Albania","tot","2007",0.185642340152694
"Albania","tot","2008",0.185642340152694
"Albania","tot","2009",NA
"Albania","tot","2010",NA
"Albania","tot","2011",NA
"Albania","tot","2012",NA
"Albania","tot","2013",NA
"Albania","tot","2014",NA
"Albania","tot","2015",NA
"Albania","tot","2016",NA
"Albania","tot","2017",NA
"Armenia","no.edu.primary","1978",NA
"Armenia","no.edu.primary","1979",NA
"Armenia","no.edu.primary","1980",NA
"Armenia","no.edu.primary","1981",NA
"Armenia","no.edu.primary","1982",NA
"Armenia","no.edu.primary","1983",NA
"Armenia","no.edu.primary","1984",NA
"Armenia","no.edu.primary","1985",NA
"Armenia","no.edu.primary","1986",NA
"Armenia","no.edu.primary","1987",NA
"Armenia","no.edu.primary","1988",NA
"Armenia","no.edu.primary","1989",NA
"Armenia","no.edu.primary","1990",NA
"Armenia","no.edu.primary","1991",NA
"Armenia","no.edu.primary","1992",NA
"Armenia","no.edu.primary","1993",NA
"Armenia","no.edu.primary","1994",NA
"Armenia","no.edu.primary","1995",NA
"Armenia","no.edu.primary","1996",NA
"Armenia","no.edu.primary","1997",NA
"Armenia","no.edu.primary","1998",NA
"Armenia","no.edu.primary","1999",NA
"Armenia","no.edu.primary","2000",NA
"Armenia","no.edu.primary","2001",NA
"Armenia","no.edu.primary","2002",NA
"Armenia","no.edu.primary","2003",NA
"Armenia","no.edu.primary","2004",NA
"Armenia","no.edu.primary","2005",NA
"Armenia","no.edu.primary","2006",NA
"Armenia","no.edu.primary","2007",NA
"Armenia","no.edu.primary","2008",NA
"Armenia","no.edu.primary","2009",NA
"Armenia","no.edu.primary","2010",NA
"Armenia","no.edu.primary","2011",NA
"Armenia","no.edu.primary","2012",NA
"Armenia","no.edu.primary","2013",NA
"Armenia","no.edu.primary","2014",NA
"Armenia","no.edu.primary","2015",NA
"Armenia","no.edu.primary","2016",NA
"Armenia","no.edu.primary","2017",NA
"Armenia","secondary.higher","1978",NA
"Armenia","secondary.higher","1979",NA
"Armenia","secondary.higher","1980",NA
"Armenia","secondary.higher","1981",NA
"Armenia","secondary.higher","1982",NA
"Armenia","secondary.higher","1983",NA
"Armenia","secondary.higher","1984",NA
"Armenia","secondary.higher","1985",NA
"Armenia","secondary.higher","1986",NA
"Armenia","secondary.higher","1987",NA
"Armenia","secondary.higher","1988",NA
"Armenia","secondary.higher","1989",NA
"Armenia","secondary.higher","1990",0.121988264718633
"Armenia","secondary.higher","1991",0.121988264718633
"Armenia","secondary.higher","1992",0.121988264718633
"Armenia","secondary.higher","1993",0.121988264718633
"Armenia","secondary.higher","1994",0.121988264718633
"Armenia","secondary.higher","1995",0.142015107101219
"Armenia","secondary.higher","1996",0.142015107101219
"Armenia","secondary.higher","1997",0.142015107101219
"Armenia","secondary.higher","1998",0.142015107101219
"Armenia","secondary.higher","1999",0.142015107101219
"Armenia","secondary.higher","2000",0.168238906942001
"Armenia","secondary.higher","2001",0.214978747868437
"Armenia","secondary.higher","2002",0.214978747868437
"Armenia","secondary.higher","2003",0.214978747868437
"Armenia","secondary.higher","2004",0.214978747868437
"Armenia","secondary.higher","2005",0.224770228271177
"Armenia","secondary.higher","2006",0.281230104527728
"Armenia","secondary.higher","2007",0.281230104527728
"Armenia","secondary.higher","2008",0.281230104527728
"Armenia","secondary.higher","2009",0.281230104527728
"Armenia","secondary.higher","2010",0.281230104527728
"Armenia","secondary.higher","2011",0.285716491942696
"Armenia","secondary.higher","2012",0.285716491942696
"Armenia","secondary.higher","2013",0.285716491942696
"Armenia","secondary.higher","2014",0.285716491942696
"Armenia","secondary.higher","2015",0.285716491942696
"Armenia","secondary.higher","2016",NA
"Armenia","secondary.higher","2017",NA
"Armenia","tot","1978",NA
"Armenia","tot","1979",NA
"Armenia","tot","1980",NA
"Armenia","tot","1981",NA
"Armenia","tot","1982",NA
"Armenia","tot","1983",NA
"Armenia","tot","1984",NA
"Armenia","tot","1985",NA
"Armenia","tot","1986",NA
"Armenia","tot","1987",NA
"Armenia","tot","1988",NA
"Armenia","tot","1989",NA
"Armenia","tot","1990",0.121988264718633
"Armenia","tot","1991",0.121988264718633
"Armenia","tot","1992",0.121988264718633
"Armenia","tot","1993",0.121988264718633
"Armenia","tot","1994",0.121988264718633
"Armenia","tot","1995",0.142015107101219
"Armenia","tot","1996",0.142015107101219
"Armenia","tot","1997",0.142015107101219
"Armenia","tot","1998",0.142015107101219
"Armenia","tot","1999",0.142015107101219
"Armenia","tot","2000",0.16152168129666
"Armenia","tot","2001",0.201905066883049
"Armenia","tot","2002",0.201905066883049
"Armenia","tot","2003",0.201905066883049
"Armenia","tot","2004",0.201905066883049
"Armenia","tot","2005",0.213615736679568
"Armenia","tot","2006",0.258287655905936
"Armenia","tot","2007",0.258287655905936
"Armenia","tot","2008",0.258287655905936
"Armenia","tot","2009",0.258287655905936
"Armenia","tot","2010",0.258287655905936
"Armenia","tot","2011",0.285716491942696
"Armenia","tot","2012",0.285716491942696
"Armenia","tot","2013",0.285716491942696
"Armenia","tot","2014",0.285716491942696
"Armenia","tot","2015",0.285716491942696
"Armenia","tot","2016",NA
"Armenia","tot","2017",NA
"Azerbaijan","no.edu.primary","1978",NA
"Azerbaijan","no.edu.primary","1979",NA
"Azerbaijan","no.edu.primary","1980",NA
"Azerbaijan","no.edu.primary","1981",NA
"Azerbaijan","no.edu.primary","1982",NA
"Azerbaijan","no.edu.primary","1983",NA
"Azerbaijan","no.edu.primary","1984",NA
"Azerbaijan","no.edu.primary","1985",NA
"Azerbaijan","no.edu.primary","1986",NA
"Azerbaijan","no.edu.primary","1987",NA
"Azerbaijan","no.edu.primary","1988",NA
"Azerbaijan","no.edu.primary","1989",NA
"Azerbaijan","no.edu.primary","1990",NA
"Azerbaijan","no.edu.primary","1991",NA
"Azerbaijan","no.edu.primary","1992",NA
"Azerbaijan","no.edu.primary","1993",NA
"Azerbaijan","no.edu.primary","1994",NA
"Azerbaijan","no.edu.primary","1995",NA
"Azerbaijan","no.edu.primary","1996",NA
"Azerbaijan","no.edu.primary","1997",NA
"Azerbaijan","no.edu.primary","1998",NA
"Azerbaijan","no.edu.primary","1999",NA
"Azerbaijan","no.edu.primary","2000",NA
"Azerbaijan","no.edu.primary","2001",NA
"Azerbaijan","no.edu.primary","2002",NA
"Azerbaijan","no.edu.primary","2003",NA
"Azerbaijan","no.edu.primary","2004",NA
"Azerbaijan","no.edu.primary","2005",NA
"Azerbaijan","no.edu.primary","2006",NA
"Azerbaijan","no.edu.primary","2007",NA
"Azerbaijan","no.edu.primary","2008",NA
"Azerbaijan","no.edu.primary","2009",NA
"Azerbaijan","no.edu.primary","2010",NA
"Azerbaijan","no.edu.primary","2011",NA
"Azerbaijan","no.edu.primary","2012",NA
"Azerbaijan","no.edu.primary","2013",NA
"Azerbaijan","no.edu.primary","2014",NA
"Azerbaijan","no.edu.primary","2015",NA
"Azerbaijan","no.edu.primary","2016",NA
"Azerbaijan","no.edu.primary","2017",NA
"Azerbaijan","secondary.higher","1978",NA
"Azerbaijan","secondary.higher","1979",NA
"Azerbaijan","secondary.higher","1980",NA
"Azerbaijan","secondary.higher","1981",NA
"Azerbaijan","secondary.higher","1982",NA
"Azerbaijan","secondary.higher","1983",NA
"Azerbaijan","secondary.higher","1984",NA
"Azerbaijan","secondary.higher","1985",NA
"Azerbaijan","secondary.higher","1986",NA
"Azerbaijan","secondary.higher","1987",NA
"Azerbaijan","secondary.higher","1988",NA
"Azerbaijan","secondary.higher","1989",NA
"Azerbaijan","secondary.higher","1990",NA
"Azerbaijan","secondary.higher","1991",NA
"Azerbaijan","secondary.higher","1992",NA
"Azerbaijan","secondary.higher","1993",NA
"Azerbaijan","secondary.higher","1994",NA
"Azerbaijan","secondary.higher","1995",NA
"Azerbaijan","secondary.higher","1996",0.123368294222912
"Azerbaijan","secondary.higher","1997",0.123368294222912
"Azerbaijan","secondary.higher","1998",0.123368294222912
"Azerbaijan","secondary.higher","1999",0.123368294222912
"Azerbaijan","secondary.higher","2000",0.123368294222912
"Azerbaijan","secondary.higher","2001",0.123368294222912
"Azerbaijan","secondary.higher","2002",0.123368294222912
"Azerbaijan","secondary.higher","2003",0.123368294222912
"Azerbaijan","secondary.higher","2004",0.123368294222912
"Azerbaijan","secondary.higher","2005",0.123368294222912
"Azerbaijan","secondary.higher","2006",0.123368294222912
"Azerbaijan","secondary.higher","2007",NA
"Azerbaijan","secondary.higher","2008",NA
"Azerbaijan","secondary.higher","2009",NA
"Azerbaijan","secondary.higher","2010",NA
"Azerbaijan","secondary.higher","2011",NA
"Azerbaijan","secondary.higher","2012",NA
"Azerbaijan","secondary.higher","2013",NA
"Azerbaijan","secondary.higher","2014",NA
"Azerbaijan","secondary.higher","2015",NA
"Azerbaijan","secondary.higher","2016",NA
"Azerbaijan","secondary.higher","2017",NA
"Azerbaijan","tot","1978",NA
"Azerbaijan","tot","1979",NA
"Azerbaijan","tot","1980",NA
"Azerbaijan","tot","1981",NA
"Azerbaijan","tot","1982",NA
"Azerbaijan","tot","1983",NA
"Azerbaijan","tot","1984",NA
"Azerbaijan","tot","1985",NA
"Azerbaijan","tot","1986",NA
"Azerbaijan","tot","1987",NA
"Azerbaijan","tot","1988",NA
"Azerbaijan","tot","1989",NA
"Azerbaijan","tot","1990",NA
"Azerbaijan","tot","1991",NA
"Azerbaijan","tot","1992",NA
"Azerbaijan","tot","1993",NA
"Azerbaijan","tot","1994",NA
"Azerbaijan","tot","1995",NA
"Azerbaijan","tot","1996",0.123368294222912
"Azerbaijan","tot","1997",0.123368294222912
"Azerbaijan","tot","1998",0.123368294222912
"Azerbaijan","tot","1999",0.123368294222912
"Azerbaijan","tot","2000",0.123368294222912
"Azerbaijan","tot","2001",0.123368294222912
"Azerbaijan","tot","2002",0.123368294222912
"Azerbaijan","tot","2003",0.123368294222912
"Azerbaijan","tot","2004",0.123368294222912
"Azerbaijan","tot","2005",0.123368294222912
"Azerbaijan","tot","2006",0.123368294222912
"Azerbaijan","tot","2007",NA
"Azerbaijan","tot","2008",NA
"Azerbaijan","tot","2009",NA
"Azerbaijan","tot","2010",NA
"Azerbaijan","tot","2011",NA
"Azerbaijan","tot","2012",NA
"Azerbaijan","tot","2013",NA
"Azerbaijan","tot","2014",NA
"Azerbaijan","tot","2015",NA
"Azerbaijan","tot","2016",NA
"Azerbaijan","tot","2017",NA
"Egypt","no.edu.primary","1978",0.0501647560413395
"Egypt","no.edu.primary","1979",0.0501647560413395
"Egypt","no.edu.primary","1980",0.0501647560413395
"Egypt","no.edu.primary","1981",0.0501647560413395
"Egypt","no.edu.primary","1982",0.0497200200659444
"Egypt","no.edu.primary","1983",0.0497200200659444
"Egypt","no.edu.primary","1984",0.0497200200659444
"Egypt","no.edu.primary","1985",0.0503063592880926
"Egypt","no.edu.primary","1986",0.0503063592880926
"Egypt","no.edu.primary","1987",0.0503063592880926
"Egypt","no.edu.primary","1988",0.0503063592880926
"Egypt","no.edu.primary","1989",0.0503876351402841
"Egypt","no.edu.primary","1990",0.0497057475359075
"Egypt","no.edu.primary","1991",0.0497057475359075
"Egypt","no.edu.primary","1992",0.0497057475359075
"Egypt","no.edu.primary","1993",0.0585269485929605
"Egypt","no.edu.primary","1994",0.0585269485929605
"Egypt","no.edu.primary","1995",0.0591140106719628
"Egypt","no.edu.primary","1996",0.0628787764427002
"Egypt","no.edu.primary","1997",0.0628787764427002
"Egypt","no.edu.primary","1998",0.0643722122400375
"Egypt","no.edu.primary","1999",0.0643722122400375
"Egypt","no.edu.primary","2000",0.0643722122400375
"Egypt","no.edu.primary","2001",0.0721322454719247
"Egypt","no.edu.primary","2002",0.0721322454719247
"Egypt","no.edu.primary","2003",0.0721322454719247
"Egypt","no.edu.primary","2004",0.0747487605682888
"Egypt","no.edu.primary","2005",0.0747487605682888
"Egypt","no.edu.primary","2006",0.084961667097361
"Egypt","no.edu.primary","2007",0.084961667097361
"Egypt","no.edu.primary","2008",0.084961667097361
"Egypt","no.edu.primary","2009",0.0998802743412015
"Egypt","no.edu.primary","2010",0.0998802743412015
"Egypt","no.edu.primary","2011",0.0998802743412015
"Egypt","no.edu.primary","2012",0.0998802743412015
"Egypt","no.edu.primary","2013",0.0998802743412015
"Egypt","no.edu.primary","2014",0.0998802743412015
"Egypt","no.edu.primary","2015",NA
"Egypt","no.edu.primary","2016",NA
"Egypt","no.edu.primary","2017",NA
"Egypt","secondary.higher","1978",0.164310230844931
"Egypt","secondary.higher","1979",0.164310230844931
"Egypt","secondary.higher","1980",0.164310230844931
"Egypt","secondary.higher","1981",0.164310230844931
"Egypt","secondary.higher","1982",0.154949695822973
"Egypt","secondary.higher","1983",0.154949695822973
"Egypt","secondary.higher","1984",0.154949695822973
"Egypt","secondary.higher","1985",0.139558931090882
"Egypt","secondary.higher","1986",0.139558931090882
"Egypt","secondary.higher","1987",0.139558931090882
"Egypt","secondary.higher","1988",0.139558931090882
"Egypt","secondary.higher","1989",0.128002899153404
"Egypt","secondary.higher","1990",0.116143001071556
"Egypt","secondary.higher","1991",0.116143001071556
"Egypt","secondary.higher","1992",0.116143001071556
"Egypt","secondary.higher","1993",0.113132084883806
"Egypt","secondary.higher","1994",0.113132084883806
"Egypt","secondary.higher","1995",0.109021841128156
"Egypt","secondary.higher","1996",0.109581655824282
"Egypt","secondary.higher","1997",0.109581655824282
"Egypt","secondary.higher","1998",0.110833773127024
"Egypt","secondary.higher","1999",0.110833773127024
"Egypt","secondary.higher","2000",0.110833773127024
"Egypt","secondary.higher","2001",0.119580725985444
"Egypt","secondary.higher","2002",0.119580725985444
"Egypt","secondary.higher","2003",0.119580725985444
"Egypt","secondary.higher","2004",0.0978300102204479
"Egypt","secondary.higher","2005",0.0978300102204479
"Egypt","secondary.higher","2006",0.100352431829452
